
___________________________________________________________________

GenoDive 3.01, 2021-11-24 11:02:23 +0000
Amova: Analysis of Molecular Variance (Excoffier et al., 1995)
File: TrkNbr-1524n1282n1083_AllPops_PGDSpider_p14_r080_LDnHWEx__genepopRF.txt
178 of 178 individuals included, 8480 of 8480 loci included
Used an Infinite Allele Model, so the reported statistics are equivalent to Fst
Significance was tested using 999 permutations


– AMOVA summary:

Source of Variation	Nested in	%var	F-stat	F-value	Std.Dev.	c.i.2.5%	c.i.97.5%	P-value	F'-value
Within Individual 	--	0.782	F_it	0.218	0.003	0.211	0.225	--	--
Among Individual 	Population 	0.063	F_is	0.074	0.004	0.065	0.083	0.001	--
Among Population 	--	0.155	F_st	0.155	0.002	0.151	0.159	0.001	0.159

Standard deviations of F-statistics were obtained through jackknifing over loci.
95% confidence intervals of F-statistics were obtained through bootstrapping over loci.


– AMOVA table per locus:

Locus	Source of Variation	Nested in	SSD	d.f.	MS	Var-comp	%Var	F-stat	F-value	P-value	F(max)	F'-value

218888_13	Within Individual   	--	1.000	135	0.007	0.007	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.800	121	0.007	-0.000	-0.054	F_is	-0.057	1.000	--	--
	Among Population   	--	0.185	13	0.014	0.000	0.053	F_st	0.053	0.070	0.986	0.054

218921_58	Within Individual   	--	2.500	140	0.018	0.018	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	1.111	125	0.009	-0.004	-0.251	F_is	-0.335	1.000	--	--
	Among Population   	--	1.300	14	0.093	0.004	0.252	F_st	0.252	0.001	0.973	0.259

218933_16	Within Individual   	--	2.500	143	0.017	0.017	0.722	F_it	0.278	--	--	--
	Among Individual   	Population 	3.050	128	0.024	0.003	0.131	F_is	0.154	0.518	--	--
	Among Population   	--	1.279	14	0.091	0.004	0.146	F_st	0.146	0.001	0.959	0.153

218955_17	Within Individual   	--	3.000	146	0.021	0.021	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.200	131	0.009	-0.006	-0.277	F_is	-0.383	1.000	--	--
	Among Population   	--	1.677	14	0.120	0.006	0.277	F_st	0.277	0.001	0.970	0.285

218985_78	Within Individual   	--	2.500	138	0.018	0.018	1.011	F_it	-0.011	--	--	--
	Among Individual   	Population 	1.939	123	0.016	-0.001	-0.066	F_is	-0.069	1.000	--	--
	Among Population   	--	0.471	14	0.034	0.001	0.054	F_st	0.054	0.030	0.966	0.056

219102_8	Within Individual   	--	3.000	125	0.024	0.024	0.619	F_it	0.381	--	--	--
	Among Individual   	Population 	5.413	111	0.049	0.012	0.319	F_is	0.340	0.078	--	--
	Among Population   	--	1.187	13	0.091	0.002	0.062	F_st	0.062	0.037	0.927	0.066

219122_45	Within Individual   	--	0.500	146	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	131	0.003	0.000	0.002	F_is	0.002	1.000	--	--
	Among Population   	--	0.047	14	0.003	-0.000	-0.002	F_st	-0.002	1.000	0.993	-0.002

219176_31	Within Individual   	--	1.000	159	0.006	0.006	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	142	0.005	-0.000	-0.065	F_is	-0.069	1.000	--	--
	Among Population   	--	0.210	16	0.013	0.000	0.065	F_st	0.065	0.024	0.988	0.066

219516_20	Within Individual   	--	1.000	161	0.006	0.006	0.500	F_it	0.500	--	--	--
	Among Individual   	Population 	2.200	144	0.015	0.005	0.365	F_is	0.422	0.316	--	--
	Among Population   	--	0.750	16	0.047	0.002	0.135	F_st	0.135	0.006	0.979	0.137

219624_18	Within Individual   	--	1.500	142	0.011	0.011	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.200	126	0.010	-0.001	-0.049	F_is	-0.052	1.000	--	--
	Among Population   	--	0.268	15	0.018	0.000	0.045	F_st	0.045	0.064	0.980	0.046

219716_21	Within Individual   	--	2.500	164	0.015	0.015	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.250	147	0.009	-0.003	-0.221	F_is	-0.284	1.000	--	--
	Among Population   	--	1.174	16	0.073	0.003	0.221	F_st	0.221	0.001	0.976	0.226

219735_12	Within Individual   	--	2.000	158	0.013	0.013	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	1.111	141	0.008	-0.002	-0.189	F_is	-0.233	1.000	--	--
	Among Population   	--	0.838	16	0.052	0.002	0.189	F_st	0.189	0.001	0.979	0.193

220000_11	Within Individual   	--	2.000	130	0.015	0.015	0.505	F_it	0.495	--	--	--
	Among Individual   	Population 	3.500	116	0.030	0.007	0.242	F_is	0.325	0.266	--	--
	Among Population   	--	2.254	13	0.173	0.008	0.253	F_st	0.253	0.001	0.954	0.265

220137_5	Within Individual   	--	1.500	154	0.010	0.010	0.600	F_it	0.400	--	--	--
	Among Individual   	Population 	2.250	138	0.016	0.003	0.202	F_is	0.252	0.458	--	--
	Among Population   	--	1.169	15	0.078	0.003	0.197	F_st	0.197	0.001	0.974	0.203

220155_18	Within Individual   	--	0.500	136	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	122	0.004	0.000	0.002	F_is	0.002	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.002	F_st	-0.002	1.000	0.993	-0.002

220422_65	Within Individual   	--	1.000	172	0.006	0.006	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.800	154	0.005	-0.000	-0.053	F_is	-0.056	1.000	--	--
	Among Population   	--	0.188	17	0.011	0.000	0.053	F_st	0.053	0.066	0.989	0.054

220502_40	Within Individual   	--	0.500	166	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	148	0.003	0.000	0.005	F_is	0.005	1.000	--	--
	Among Population   	--	0.047	17	0.003	-0.000	-0.005	F_st	-0.005	1.000	0.994	-0.005

220519_81	Within Individual   	--	3.000	170	0.018	0.018	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.700	152	0.011	-0.003	-0.184	F_is	-0.224	1.000	--	--
	Among Population   	--	1.194	17	0.070	0.003	0.178	F_st	0.178	0.001	0.971	0.184

220579_27	Within Individual   	--	4.000	150	0.027	0.027	0.821	F_it	0.179	--	--	--
	Among Individual   	Population 	4.478	134	0.033	0.003	0.104	F_is	0.112	0.475	--	--
	Among Population   	--	1.189	15	0.079	0.002	0.075	F_st	0.075	0.009	0.940	0.080

220634_65	Within Individual   	--	2.000	159	0.013	0.013	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	1.111	142	0.008	-0.002	-0.189	F_is	-0.233	1.000	--	--
	Among Population   	--	0.839	16	0.052	0.002	0.189	F_st	0.189	0.001	0.980	0.193

220640_74	Within Individual   	--	2.000	162	0.012	0.012	0.676	F_it	0.324	--	--	--
	Among Individual   	Population 	3.378	145	0.023	0.005	0.300	F_is	0.307	0.137	--	--
	Among Population   	--	0.511	16	0.032	0.000	0.025	F_st	0.025	0.103	0.964	0.026

220962_17	Within Individual   	--	4.500	160	0.028	0.028	0.839	F_it	0.161	--	--	--
	Among Individual   	Population 	4.406	143	0.031	0.001	0.040	F_is	0.046	0.611	--	--
	Among Population   	--	1.716	16	0.107	0.004	0.121	F_st	0.121	0.003	0.941	0.129

221045_12	Within Individual   	--	2.000	129	0.016	0.016	0.499	F_it	0.501	--	--	--
	Among Individual   	Population 	2.444	115	0.021	0.003	0.093	F_is	0.156	0.594	--	--
	Among Population   	--	3.307	13	0.254	0.013	0.408	F_st	0.408	0.001	0.963	0.423

221093_41	Within Individual   	--	0.000	152	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.778	136	0.013	0.007	0.993	F_is	1.000	0.063	--	--
	Among Population   	--	0.209	15	0.014	0.000	0.007	F_st	0.007	0.439	0.987	0.007

221185_16	Within Individual   	--	0.500	134	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	120	0.004	0.000	0.003	F_is	0.002	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.003	F_st	-0.003	1.000	0.993	-0.003

221402_47	Within Individual   	--	0.500	141	0.004	0.004	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	2.000	126	0.016	0.006	0.579	F_is	0.635	0.179	--	--
	Among Population   	--	0.468	14	0.033	0.001	0.088	F_st	0.088	0.032	0.981	0.090

221683_17	Within Individual   	--	1.000	128	0.008	0.008	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	0.800	114	0.007	-0.000	-0.051	F_is	-0.054	1.000	--	--
	Among Population   	--	0.184	13	0.014	0.000	0.050	F_st	0.050	0.073	0.985	0.051

221756_6	Within Individual   	--	0.500	152	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.444	135	0.003	0.000	0.000	F_is	0.000	1.000	--	--
	Among Population   	--	0.052	16	0.003	-0.000	-0.000	F_st	-0.000	0.692	0.993	-0.000

221831_11	Within Individual   	--	2.000	151	0.013	0.013	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.200	135	0.009	-0.002	-0.165	F_is	-0.197	1.000	--	--
	Among Population   	--	0.747	15	0.050	0.002	0.164	F_st	0.164	0.001	0.978	0.168

221841_18	Within Individual   	--	2.500	148	0.017	0.017	0.723	F_it	0.277	--	--	--
	Among Individual   	Population 	3.111	132	0.024	0.003	0.143	F_is	0.165	0.465	--	--
	Among Population   	--	1.223	15	0.082	0.003	0.134	F_st	0.134	0.002	0.960	0.140

221901_10	Within Individual   	--	2.500	139	0.018	0.018	1.009	F_it	-0.009	--	--	--
	Among Individual   	Population 	1.800	124	0.015	-0.002	-0.097	F_is	-0.107	1.000	--	--
	Among Population   	--	0.610	14	0.044	0.002	0.088	F_st	0.088	0.001	0.967	0.091

222109_46	Within Individual   	--	6.500	124	0.052	0.052	0.907	F_it	0.093	--	--	--
	Among Individual   	Population 	4.528	110	0.041	-0.006	-0.097	F_is	-0.120	0.917	--	--
	Among Population   	--	3.065	13	0.236	0.011	0.190	F_st	0.190	0.001	0.906	0.210

222233_77	Within Individual   	--	3.000	132	0.023	0.023	0.607	F_it	0.393	--	--	--
	Among Individual   	Population 	3.222	118	0.027	0.002	0.061	F_is	0.092	0.606	--	--
	Among Population   	--	3.399	13	0.261	0.012	0.332	F_st	0.332	0.001	0.950	0.349

222347_17	Within Individual   	--	2.000	171	0.012	0.012	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.500	153	0.010	-0.001	-0.081	F_is	-0.088	1.000	--	--
	Among Population   	--	0.453	17	0.027	0.001	0.076	F_st	0.076	0.013	0.979	0.078

222388_42	Within Individual   	--	0.500	125	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	111	0.004	-0.000	-0.007	F_is	-0.007	1.000	--	--
	Among Population   	--	0.059	13	0.005	0.000	0.008	F_st	0.008	0.391	0.992	0.008

222398_67	Within Individual   	--	1.000	139	0.007	0.007	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	0.800	124	0.006	-0.000	-0.052	F_is	-0.054	1.000	--	--
	Among Population   	--	0.186	14	0.013	0.000	0.051	F_st	0.051	0.063	0.986	0.052

222563_17	Within Individual   	--	0.000	144	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.750	128	0.014	0.007	0.983	F_is	1.000	0.058	--	--
	Among Population   	--	0.236	15	0.016	0.000	0.017	F_st	0.017	0.272	0.986	0.017

222603_48	Within Individual   	--	0.000	156	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.778	139	0.013	0.006	0.997	F_is	1.000	0.053	--	--
	Among Population   	--	0.209	16	0.013	0.000	0.003	F_st	0.003	0.505	0.987	0.003

222713_7	Within Individual   	--	3.000	164	0.018	0.018	0.601	F_it	0.399	--	--	--
	Among Individual   	Population 	2.000	147	0.014	-0.002	-0.077	F_is	-0.147	0.866	--	--
	Among Population   	--	4.695	16	0.293	0.015	0.476	F_st	0.476	0.001	0.968	0.492

222798_26	Within Individual   	--	0.500	127	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	113	0.004	0.000	0.006	F_is	0.006	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.006	F_st	-0.006	1.000	0.992	-0.006

222830_16	Within Individual   	--	4.000	133	0.030	0.030	0.690	F_it	0.310	--	--	--
	Among Individual   	Population 	5.599	119	0.047	0.008	0.195	F_is	0.220	0.230	--	--
	Among Population   	--	1.860	13	0.143	0.005	0.116	F_st	0.116	0.001	0.923	0.126

222896_46	Within Individual   	--	1.000	177	0.006	0.006	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.800	159	0.005	-0.000	-0.055	F_is	-0.058	1.000	--	--
	Among Population   	--	0.189	17	0.011	0.000	0.055	F_st	0.055	0.040	0.989	0.055

223000_12	Within Individual   	--	4.500	140	0.032	0.032	0.622	F_it	0.378	--	--	--
	Among Individual   	Population 	5.965	125	0.048	0.008	0.151	F_is	0.195	0.289	--	--
	Among Population   	--	3.731	14	0.267	0.012	0.227	F_st	0.227	0.001	0.920	0.247

223245_25	Within Individual   	--	1.000	142	0.007	0.007	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.800	127	0.006	-0.000	-0.053	F_is	-0.056	1.000	--	--
	Among Population   	--	0.186	14	0.013	0.000	0.052	F_st	0.052	0.060	0.987	0.053

223334_26	Within Individual   	--	2.000	149	0.013	0.013	0.998	F_it	0.002	--	--	--
	Among Individual   	Population 	1.000	133	0.008	-0.003	-0.219	F_is	-0.282	1.000	--	--
	Among Population   	--	0.946	15	0.063	0.003	0.222	F_st	0.222	0.001	0.979	0.227

223358_88	Within Individual   	--	0.500	131	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	117	0.004	-0.000	-0.010	F_is	-0.010	1.000	--	--
	Among Population   	--	0.059	13	0.005	0.000	0.011	F_st	0.011	0.226	0.992	0.011

223380_44	Within Individual   	--	2.000	158	0.013	0.013	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	1.111	141	0.008	-0.002	-0.189	F_is	-0.233	1.000	--	--
	Among Population   	--	0.838	16	0.052	0.002	0.189	F_st	0.189	0.001	0.979	0.193

223446_60	Within Individual   	--	1.500	146	0.010	0.010	0.598	F_it	0.402	--	--	--
	Among Individual   	Population 	1.938	130	0.015	0.002	0.135	F_is	0.184	0.622	--	--
	Among Population   	--	1.477	15	0.098	0.005	0.267	F_st	0.267	0.001	0.975	0.274

223447_34	Within Individual   	--	1.000	137	0.007	0.007	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.900	123	0.007	0.000	0.001	F_is	0.001	1.000	--	--
	Among Population   	--	0.085	13	0.007	-0.000	-0.005	F_st	-0.005	1.000	0.985	-0.005

223464_11	Within Individual   	--	0.500	161	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	144	0.003	-0.000	-0.003	F_is	-0.003	1.000	--	--
	Among Population   	--	0.052	16	0.003	0.000	0.003	F_st	0.003	0.301	0.994	0.003

223477_60	Within Individual   	--	1.500	131	0.011	0.011	0.598	F_it	0.402	--	--	--
	Among Individual   	Population 	1.938	117	0.017	0.003	0.133	F_is	0.182	0.585	--	--
	Among Population   	--	1.467	13	0.113	0.005	0.269	F_st	0.269	0.001	0.972	0.277

223538_10	Within Individual   	--	1.000	129	0.008	0.008	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	0.800	115	0.007	-0.000	-0.051	F_is	-0.054	1.000	--	--
	Among Population   	--	0.184	13	0.014	0.000	0.051	F_st	0.051	0.057	0.985	0.051

223558_75	Within Individual   	--	3.000	131	0.023	0.023	0.768	F_it	0.232	--	--	--
	Among Individual   	Population 	3.987	117	0.034	0.006	0.187	F_is	0.196	0.289	--	--
	Among Population   	--	0.768	13	0.059	0.001	0.045	F_st	0.045	0.055	0.943	0.048

223620_72	Within Individual   	--	5.000	132	0.038	0.038	0.746	F_it	0.254	--	--	--
	Among Individual   	Population 	6.261	118	0.053	0.008	0.149	F_is	0.167	0.289	--	--
	Among Population   	--	1.996	13	0.154	0.005	0.105	F_st	0.105	0.004	0.909	0.115

223656_87	Within Individual   	--	2.000	163	0.012	0.012	0.674	F_it	0.326	--	--	--
	Among Individual   	Population 	3.200	146	0.022	0.005	0.265	F_is	0.282	0.247	--	--
	Among Population   	--	0.690	16	0.043	0.001	0.061	F_st	0.061	0.021	0.966	0.063

223893_75	Within Individual   	--	2.000	145	0.014	0.014	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	1.200	130	0.009	-0.002	-0.165	F_is	-0.198	1.000	--	--
	Among Population   	--	0.745	14	0.053	0.002	0.165	F_st	0.165	0.001	0.977	0.169

224133_19	Within Individual   	--	0.500	122	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.444	108	0.004	0.000	0.002	F_is	0.002	1.000	--	--
	Among Population   	--	0.051	13	0.004	-0.000	-0.002	F_st	-0.002	0.853	0.992	-0.002

224309_6	Within Individual   	--	1.000	136	0.007	0.007	0.501	F_it	0.499	--	--	--
	Among Individual   	Population 	2.200	121	0.018	0.005	0.369	F_is	0.424	0.280	--	--
	Among Population   	--	0.741	14	0.053	0.002	0.131	F_st	0.131	0.003	0.974	0.134

224331_7	Within Individual   	--	1.500	130	0.012	0.012	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.050	116	0.009	-0.001	-0.108	F_is	-0.121	1.000	--	--
	Among Population   	--	0.415	13	0.032	0.001	0.107	F_st	0.107	0.005	0.979	0.109

224553_80	Within Individual   	--	3.000	136	0.022	0.022	1.012	F_it	-0.012	--	--	--
	Among Individual   	Population 	2.000	121	0.017	-0.003	-0.127	F_is	-0.143	1.000	--	--
	Among Population   	--	0.868	14	0.062	0.003	0.115	F_st	0.115	0.001	0.961	0.120

224648_45	Within Individual   	--	6.000	131	0.046	0.046	1.038	F_it	-0.038	--	--	--
	Among Individual   	Population 	4.089	117	0.035	-0.005	-0.123	F_is	-0.134	1.000	--	--
	Among Population   	--	1.361	13	0.105	0.004	0.085	F_st	0.085	0.003	0.919	0.092

224649_9	Within Individual   	--	0.500	161	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	144	0.003	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.047	16	0.003	-0.000	-0.003	F_st	-0.003	1.000	0.994	-0.003

224670_49	Within Individual   	--	1.000	136	0.007	0.007	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.894	122	0.007	-0.000	-0.001	F_is	-0.001	1.000	--	--
	Among Population   	--	0.091	13	0.007	-0.000	-0.002	F_st	-0.002	0.412	0.985	-0.002

224694_17	Within Individual   	--	1.000	130	0.008	0.008	0.500	F_it	0.500	--	--	--
	Among Individual   	Population 	2.111	116	0.018	0.005	0.341	F_is	0.406	0.338	--	--
	Among Population   	--	0.827	13	0.064	0.002	0.159	F_st	0.159	0.002	0.974	0.163

224834_56	Within Individual   	--	1.500	128	0.012	0.012	0.601	F_it	0.399	--	--	--
	Among Individual   	Population 	2.250	114	0.020	0.004	0.206	F_is	0.255	0.496	--	--
	Among Population   	--	1.152	13	0.089	0.004	0.193	F_st	0.193	0.001	0.969	0.200

224996_13	Within Individual   	--	1.500	160	0.009	0.009	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	1.237	143	0.009	-0.000	-0.039	F_is	-0.040	1.000	--	--
	Among Population   	--	0.234	16	0.015	0.000	0.034	F_st	0.034	0.076	0.982	0.035

225021_61	Within Individual   	--	2.500	134	0.019	0.019	0.724	F_it	0.276	--	--	--
	Among Individual   	Population 	3.200	120	0.027	0.004	0.155	F_is	0.177	0.435	--	--
	Among Population   	--	1.117	13	0.086	0.003	0.120	F_st	0.120	0.002	0.955	0.126

225153_12	Within Individual   	--	0.500	132	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	118	0.004	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.004	F_st	-0.004	1.000	0.992	-0.004

225227_24	Within Individual   	--	1.500	129	0.012	0.012	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.215	115	0.011	-0.001	-0.046	F_is	-0.048	1.000	--	--
	Among Population   	--	0.250	13	0.019	0.000	0.041	F_st	0.041	0.050	0.978	0.042

225400_6	Within Individual   	--	3.500	154	0.023	0.023	0.793	F_it	0.207	--	--	--
	Among Individual   	Population 	3.939	138	0.029	0.003	0.101	F_is	0.113	0.498	--	--
	Among Population   	--	1.298	15	0.087	0.003	0.105	F_st	0.105	0.001	0.949	0.111

225582_17	Within Individual   	--	1.500	128	0.012	0.012	0.598	F_it	0.402	--	--	--
	Among Individual   	Population 	1.938	114	0.017	0.003	0.135	F_is	0.184	0.600	--	--
	Among Population   	--	1.465	13	0.113	0.005	0.267	F_st	0.267	0.001	0.971	0.275

225649_16	Within Individual   	--	0.500	141	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	126	0.004	-0.000	-0.003	F_is	-0.003	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.003	F_st	0.003	0.436	0.993	0.003

225766_10	Within Individual   	--	2.500	132	0.019	0.019	0.722	F_it	0.278	--	--	--
	Among Individual   	Population 	2.889	118	0.024	0.003	0.106	F_is	0.128	0.543	--	--
	Among Population   	--	1.426	13	0.110	0.005	0.172	F_st	0.172	0.001	0.957	0.180

225840_16	Within Individual   	--	0.500	151	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	135	0.003	-0.000	-0.003	F_is	-0.003	1.000	--	--
	Among Population   	--	0.052	15	0.003	0.000	0.003	F_st	0.003	0.271	0.993	0.003

226057_6	Within Individual   	--	2.000	136	0.015	0.015	0.666	F_it	0.334	--	--	--
	Among Individual   	Population 	2.000	121	0.017	0.001	0.041	F_is	0.058	0.689	--	--
	Among Population   	--	1.868	14	0.133	0.006	0.292	F_st	0.292	0.001	0.969	0.302

226102_66	Within Individual   	--	1.500	144	0.010	0.010	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	1.050	129	0.008	-0.001	-0.109	F_is	-0.123	1.000	--	--
	Among Population   	--	0.419	14	0.030	0.001	0.109	F_st	0.109	0.005	0.981	0.111

226209_26	Within Individual   	--	2.000	152	0.013	0.013	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.450	136	0.011	-0.001	-0.095	F_is	-0.105	1.000	--	--
	Among Population   	--	0.497	15	0.033	0.001	0.090	F_st	0.090	0.003	0.976	0.093

226242_30	Within Individual   	--	0.500	164	0.003	0.003	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	147	0.003	-0.000	-0.012	F_is	-0.012	1.000	--	--
	Among Population   	--	0.059	16	0.004	0.000	0.013	F_st	0.013	0.109	0.994	0.013

226245_11	Within Individual   	--	1.000	169	0.006	0.006	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.800	151	0.005	-0.000	-0.052	F_is	-0.055	1.000	--	--
	Among Population   	--	0.188	17	0.011	0.000	0.052	F_st	0.052	0.053	0.989	0.053

226313_21	Within Individual   	--	1.500	138	0.011	0.011	0.601	F_it	0.399	--	--	--
	Among Individual   	Population 	2.250	123	0.018	0.004	0.205	F_is	0.255	0.454	--	--
	Among Population   	--	1.159	14	0.083	0.004	0.194	F_st	0.194	0.001	0.971	0.200

226333_18	Within Individual   	--	7.500	125	0.060	0.060	1.048	F_it	-0.048	--	--	--
	Among Individual   	Population 	3.792	111	0.034	-0.013	-0.226	F_is	-0.274	1.000	--	--
	Among Population   	--	2.808	13	0.216	0.010	0.178	F_st	0.178	0.001	0.906	0.196

226342_59	Within Individual   	--	2.500	167	0.015	0.015	1.008	F_it	-0.008	--	--	--
	Among Individual   	Population 	1.850	149	0.012	-0.001	-0.086	F_is	-0.093	1.000	--	--
	Among Population   	--	0.575	17	0.034	0.001	0.078	F_st	0.078	0.004	0.973	0.080

226466_40	Within Individual   	--	0.500	154	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	138	0.003	-0.000	-0.004	F_is	-0.004	1.000	--	--
	Among Population   	--	0.052	15	0.003	0.000	0.004	F_st	0.004	0.214	0.994	0.004

226511_24	Within Individual   	--	0.500	154	0.003	0.003	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	138	0.003	-0.000	-0.012	F_is	-0.012	1.000	--	--
	Among Population   	--	0.059	15	0.004	0.000	0.012	F_st	0.012	0.112	0.994	0.013

226522_13	Within Individual   	--	18.000	148	0.122	0.122	0.737	F_it	0.263	--	--	--
	Among Individual   	Population 	15.115	132	0.115	-0.004	-0.022	F_is	-0.030	0.730	--	--
	Among Population   	--	14.723	15	0.982	0.047	0.284	F_st	0.284	0.001	0.764	0.372

226612_41	Within Individual   	--	3.000	135	0.022	0.022	1.011	F_it	-0.011	--	--	--
	Among Individual   	Population 	2.006	121	0.017	-0.003	-0.128	F_is	-0.146	1.000	--	--
	Among Population   	--	0.861	13	0.066	0.003	0.117	F_st	0.117	0.001	0.961	0.122

226695_8	Within Individual   	--	2.000	130	0.015	0.015	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.450	116	0.012	-0.001	-0.094	F_is	-0.103	1.000	--	--
	Among Population   	--	0.488	13	0.038	0.001	0.088	F_st	0.088	0.007	0.972	0.091

226947_27	Within Individual   	--	2.500	141	0.018	0.018	1.001	F_it	-0.001	--	--	--
	Among Individual   	Population 	1.250	126	0.010	-0.004	-0.220	F_is	-0.282	1.000	--	--
	Among Population   	--	1.161	14	0.083	0.004	0.219	F_st	0.219	0.001	0.972	0.226

226965_10	Within Individual   	--	1.000	163	0.006	0.006	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	146	0.005	-0.000	-0.081	F_is	-0.089	1.000	--	--
	Among Population   	--	0.238	16	0.015	0.001	0.083	F_st	0.083	0.002	0.989	0.084

227117_13	Within Individual   	--	8.000	126	0.063	0.063	0.858	F_it	0.142	--	--	--
	Among Individual   	Population 	7.369	112	0.066	0.001	0.016	F_is	0.018	0.606	--	--
	Among Population   	--	3.043	13	0.234	0.009	0.126	F_st	0.126	0.001	0.871	0.145

227155_39	Within Individual   	--	2.000	157	0.013	0.013	0.677	F_it	0.323	--	--	--
	Among Individual   	Population 	3.465	140	0.025	0.006	0.319	F_is	0.320	0.116	--	--
	Among Population   	--	0.420	16	0.026	0.000	0.004	F_st	0.004	0.347	0.963	0.004

227198_36	Within Individual   	--	1.000	160	0.006	0.006	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	143	0.005	-0.000	-0.065	F_is	-0.069	1.000	--	--
	Among Population   	--	0.210	16	0.013	0.000	0.065	F_st	0.065	0.014	0.988	0.066

227234_25	Within Individual   	--	2.000	135	0.015	0.015	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.444	120	0.012	-0.001	-0.094	F_is	-0.103	1.000	--	--
	Among Population   	--	0.496	14	0.035	0.001	0.088	F_st	0.088	0.004	0.973	0.091

227414_20	Within Individual   	--	2.000	158	0.013	0.013	0.505	F_it	0.495	--	--	--
	Among Individual   	Population 	3.937	141	0.028	0.008	0.305	F_is	0.376	0.160	--	--
	Among Population   	--	1.860	16	0.116	0.005	0.190	F_st	0.190	0.001	0.959	0.198

227459_37	Within Individual   	--	1.000	135	0.007	0.007	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.778	120	0.006	-0.000	-0.062	F_is	-0.067	1.000	--	--
