TGCP_Ho_estimates	Subsampling_group
0.156	Ho_20SubSamp
0.156	Ho_20SubSamp
0.155	Ho_20SubSamp
0.155	Ho_20SubSamp
0.154	Ho_20SubSamp
0.155	Ho_20SubSamp
0.154	Ho_20SubSamp
0.152	Ho_20SubSamp
0.155	Ho_20SubSamp
0.153	Ho_20SubSamp
0.153	Ho_20SubSamp
0.153	Ho_20SubSamp
0.155	Ho_20SubSamp
0.156	Ho_20SubSamp
0.155	Ho_20SubSamp
0.154	Ho_20SubSamp
0.153	Ho_20SubSamp
0.151	Ho_20SubSamp
0.156	Ho_20SubSamp
0.155	Ho_20SubSamp
0.154	Ho_20SubSamp
0.154	Ho_20SubSamp
0.152	Ho_20SubSamp
0.156	Ho_20SubSamp
0.152	Ho_20SubSamp
0.156	Ho_20SubSamp
0.156	Ho_20SubSamp
0.151	Ho_20SubSamp
0.155	Ho_20SubSamp
0.154	Ho_20SubSamp
0.152	Ho_20SubSamp
0.152	Ho_20SubSamp
0.153	Ho_20SubSamp
0.154	Ho_20SubSamp
0.152	Ho_20SubSamp
0.154	Ho_20SubSamp
0.155	Ho_20SubSamp
0.153	Ho_20SubSamp
0.154	Ho_20SubSamp
0.155	Ho_20SubSamp
0.154	Ho_20SubSamp
0.155	Ho_20SubSamp
0.156	Ho_20SubSamp
0.151	Ho_20SubSamp
0.153	Ho_20SubSamp
0.154	Ho_20SubSamp
0.154	Ho_20SubSamp
0.154	Ho_20SubSamp
0.154	Ho_20SubSamp
0.152	Ho_20SubSamp
0.155	Ho_20SubSamp
0.155	Ho_20SubSamp
0.155	Ho_20SubSamp
0.155	Ho_20SubSamp
0.156	Ho_20SubSamp
0.156	Ho_20SubSamp
0.153	Ho_20SubSamp
0.153	Ho_20SubSamp
0.155	Ho_20SubSamp
0.154	Ho_20SubSamp
0.152	Ho_20SubSamp
0.156	Ho_20SubSamp
0.154	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.154	Ho_22SubSamp
0.153	Ho_22SubSamp
0.153	Ho_22SubSamp
0.152	Ho_22SubSamp
0.155	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.153	Ho_22SubSamp
0.155	Ho_22SubSamp
0.155	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.153	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.155	Ho_22SubSamp
0.155	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.153	Ho_22SubSamp
0.155	Ho_22SubSamp
0.153	Ho_22SubSamp
0.153	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.153	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.154	Ho_22SubSamp
0.152	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.152	Ho_22SubSamp
0.154	Ho_22SubSamp
0.152	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.154	Ho_22SubSamp
0.153	Ho_22SubSamp
0.153	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.156	Ho_22SubSamp
0.153	Ho_22SubSamp
0.153	Ho_22SubSamp
0.155	Ho_22SubSamp
0.153	Ho_22SubSamp
0.155	Ho_22SubSamp
0.153	Ho_22SubSamp
0.153	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.153	Ho_22SubSamp
0.155	Ho_22SubSamp
0.153	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.153	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.154	Ho_22SubSamp
0.154	Ho_22SubSamp
0.153	Ho_22SubSamp
0.154	Ho_22SubSamp
0.152	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.155	Ho_22SubSamp
0.154	Ho_22SubSamp
0.154	Ho_22SubSamp
0.153	Ho_22SubSamp
