PTP_Ho_estimates	Subsampling_group
0.048	Ho_20SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.049	Ho_20SubSamp
0.049	Ho_20SubSamp
0.051	Ho_20SubSamp
0.048	Ho_20SubSamp
0.048	Ho_20SubSamp
0.05	Ho_20SubSamp
0.053	Ho_20SubSamp
0.048	Ho_20SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.049	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.051	Ho_20SubSamp
0.053	Ho_20SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.048	Ho_20SubSamp
0.051	Ho_20SubSamp
0.048	Ho_20SubSamp
0.052	Ho_20SubSamp
0.05	Ho_20SubSamp
0.052	Ho_20SubSamp
0.052	Ho_20SubSamp
0.049	Ho_20SubSamp
0.049	Ho_20SubSamp
0.049	Ho_20SubSamp
0.049	Ho_20SubSamp
0.049	Ho_20SubSamp
0.051	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_20SubSamp
0.052	Ho_20SubSamp
0.051	Ho_20SubSamp
0.049	Ho_20SubSamp
0.049	Ho_20SubSamp
0.048	Ho_20SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.052	Ho_20SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.05	Ho_20SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.049	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.048	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.049	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.049	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.049	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.049	Ho_22SubSamp
0.049	Ho_22SubSamp
0.051	Ho_22SubSamp
0.048	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.049	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.049	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.049	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.048	Ho_22SubSamp
0.049	Ho_22SubSamp
0.051	Ho_22SubSamp
0.049	Ho_22SubSamp
0.05	Ho_22SubSamp
0.049	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.049	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.049	Ho_22SubSamp
0.048	Ho_22SubSamp
0.051	Ho_22SubSamp
0.049	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.052	Ho_22SubSamp
0.048	Ho_22SubSamp
0.049	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.049	Ho_22SubSamp
0.05	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.051	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
0.05	Ho_22SubSamp
