PTP_Gis_estimates	Subsampling_group
0.111	Gis_20SubSamp
0.118	Gis_20SubSamp
0.108	Gis_20SubSamp
0.115	Gis_20SubSamp
0.1	Gis_20SubSamp
0.113	Gis_20SubSamp
0.12	Gis_20SubSamp
0.122	Gis_20SubSamp
0.094	Gis_20SubSamp
0.117	Gis_20SubSamp
0.131	Gis_20SubSamp
0.11	Gis_20SubSamp
0.088	Gis_20SubSamp
0.13	Gis_20SubSamp
0.109	Gis_20SubSamp
0.111	Gis_20SubSamp
0.102	Gis_20SubSamp
0.119	Gis_20SubSamp
0.091	Gis_20SubSamp
0.114	Gis_20SubSamp
0.11	Gis_20SubSamp
0.11	Gis_20SubSamp
0.085	Gis_20SubSamp
0.108	Gis_20SubSamp
0.113	Gis_20SubSamp
0.116	Gis_20SubSamp
0.095	Gis_20SubSamp
0.128	Gis_20SubSamp
0.081	Gis_20SubSamp
0.106	Gis_20SubSamp
0.092	Gis_20SubSamp
0.091	Gis_20SubSamp
0.107	Gis_20SubSamp
0.114	Gis_20SubSamp
0.111	Gis_20SubSamp
0.111	Gis_20SubSamp
0.118	Gis_20SubSamp
0.085	Gis_20SubSamp
0.118	Gis_20SubSamp
0.085	Gis_20SubSamp
0.102	Gis_20SubSamp
0.095	Gis_20SubSamp
0.119	Gis_20SubSamp
0.127	Gis_20SubSamp
0.121	Gis_20SubSamp
0.103	Gis_20SubSamp
0.102	Gis_20SubSamp
0.094	Gis_20SubSamp
0.114	Gis_20SubSamp
0.125	Gis_20SubSamp
0.113	Gis_20SubSamp
0.096	Gis_22SubSamp
0.108	Gis_22SubSamp
0.104	Gis_22SubSamp
0.111	Gis_22SubSamp
0.12	Gis_22SubSamp
0.1	Gis_22SubSamp
0.111	Gis_22SubSamp
0.11	Gis_22SubSamp
0.103	Gis_22SubSamp
0.109	Gis_22SubSamp
0.112	Gis_22SubSamp
0.118	Gis_22SubSamp
0.106	Gis_22SubSamp
0.1	Gis_22SubSamp
0.106	Gis_22SubSamp
0.103	Gis_22SubSamp
0.111	Gis_22SubSamp
0.105	Gis_22SubSamp
0.118	Gis_22SubSamp
0.111	Gis_22SubSamp
0.102	Gis_22SubSamp
0.101	Gis_22SubSamp
0.108	Gis_22SubSamp
0.092	Gis_22SubSamp
0.121	Gis_22SubSamp
0.111	Gis_22SubSamp
0.093	Gis_22SubSamp
0.107	Gis_22SubSamp
0.115	Gis_22SubSamp
0.113	Gis_22SubSamp
0.117	Gis_22SubSamp
0.099	Gis_22SubSamp
0.122	Gis_22SubSamp
0.104	Gis_22SubSamp
0.106	Gis_22SubSamp
0.093	Gis_22SubSamp
0.116	Gis_22SubSamp
0.108	Gis_22SubSamp
0.12	Gis_22SubSamp
0.11	Gis_22SubSamp
0.118	Gis_22SubSamp
0.109	Gis_22SubSamp
0.105	Gis_22SubSamp
0.112	Gis_22SubSamp
0.111	Gis_22SubSamp
0.12	Gis_22SubSamp
0.111	Gis_22SubSamp
0.11	Gis_22SubSamp
0.102	Gis_22SubSamp
0.118	Gis_22SubSamp
0.118	Gis_22SubSamp
0.097	Gis_22SubSamp
0.117	Gis_22SubSamp
0.11	Gis_22SubSamp
0.113	Gis_22SubSamp
0.105	Gis_22SubSamp
0.109	Gis_22SubSamp
0.112	Gis_22SubSamp
0.104	Gis_22SubSamp
0.107	Gis_22SubSamp
0.105	Gis_22SubSamp
0.12	Gis_22SubSamp
0.11	Gis_22SubSamp
0.11	Gis_22SubSamp
0.099	Gis_22SubSamp
0.112	Gis_22SubSamp
0.105	Gis_22SubSamp
0.102	Gis_22SubSamp
0.096	Gis_22SubSamp
0.118	Gis_22SubSamp
0.122	Gis_22SubSamp
0.098	Gis_22SubSamp
0.116	Gis_22SubSamp
0.117	Gis_22SubSamp
0.113	Gis_22SubSamp
0.117	Gis_22SubSamp
0.099	Gis_22SubSamp
0.119	Gis_22SubSamp
0.118	Gis_22SubSamp
0.113	Gis_22SubSamp
0.099	Gis_22SubSamp
0.093	Gis_22SubSamp
0.111	Gis_22SubSamp
0.103	Gis_22SubSamp
0.101	Gis_22SubSamp
0.108	Gis_22SubSamp
0.103	Gis_22SubSamp
0.09	Gis_22SubSamp
0.119	Gis_22SubSamp
0.096	Gis_22SubSamp
0.104	Gis_22SubSamp
0.115	Gis_22SubSamp
0.119	Gis_22SubSamp
0.109	Gis_22SubSamp
0.097	Gis_22SubSamp
0.096	Gis_22SubSamp
0.11	Gis_22SubSamp
0.105	Gis_22SubSamp
0.119	Gis_22SubSamp
0.115	Gis_22SubSamp
