MPO_Gis_estimates	Subsampling_group
0.121	Gis_20SubSamp
0.113	Gis_20SubSamp
0.126	Gis_20SubSamp
0.108	Gis_20SubSamp
0.135	Gis_20SubSamp
0.119	Gis_20SubSamp
0.13	Gis_20SubSamp
0.12	Gis_20SubSamp
0.126	Gis_20SubSamp
0.115	Gis_20SubSamp
0.124	Gis_20SubSamp
0.106	Gis_20SubSamp
0.113	Gis_20SubSamp
0.131	Gis_20SubSamp
0.112	Gis_20SubSamp
0.127	Gis_20SubSamp
0.133	Gis_20SubSamp
0.128	Gis_20SubSamp
0.125	Gis_20SubSamp
0.116	Gis_20SubSamp
0.133	Gis_20SubSamp
0.111	Gis_20SubSamp
0.143	Gis_20SubSamp
0.126	Gis_20SubSamp
0.136	Gis_20SubSamp
0.12	Gis_20SubSamp
0.13	Gis_20SubSamp
0.097	Gis_20SubSamp
0.118	Gis_20SubSamp
0.128	Gis_20SubSamp
0.12	Gis_20SubSamp
0.103	Gis_20SubSamp
0.119	Gis_20SubSamp
0.122	Gis_20SubSamp
0.119	Gis_20SubSamp
0.121	Gis_20SubSamp
0.126	Gis_20SubSamp
0.119	Gis_20SubSamp
0.135	Gis_20SubSamp
0.126	Gis_20SubSamp
0.12	Gis_20SubSamp
0.133	Gis_20SubSamp
0.115	Gis_20SubSamp
0.141	Gis_20SubSamp
0.119	Gis_20SubSamp
0.119	Gis_20SubSamp
0.101	Gis_20SubSamp
0.127	Gis_20SubSamp
0.114	Gis_20SubSamp
0.107	Gis_20SubSamp
0.1	Gis_20SubSamp
0.097	Gis_20SubSamp
0.108	Gis_20SubSamp
0.135	Gis_20SubSamp
0.137	Gis_20SubSamp
0.111	Gis_20SubSamp
0.124	Gis_20SubSamp
0.118	Gis_20SubSamp
0.126	Gis_20SubSamp
0.119	Gis_22SubSamp
0.112	Gis_22SubSamp
0.119	Gis_22SubSamp
0.132	Gis_22SubSamp
0.124	Gis_22SubSamp
0.119	Gis_22SubSamp
0.113	Gis_22SubSamp
0.112	Gis_22SubSamp
0.124	Gis_22SubSamp
0.134	Gis_22SubSamp
0.126	Gis_22SubSamp
0.119	Gis_22SubSamp
0.123	Gis_22SubSamp
0.132	Gis_22SubSamp
0.118	Gis_22SubSamp
0.134	Gis_22SubSamp
0.112	Gis_22SubSamp
0.123	Gis_22SubSamp
0.127	Gis_22SubSamp
0.118	Gis_22SubSamp
0.119	Gis_22SubSamp
0.134	Gis_22SubSamp
0.112	Gis_22SubSamp
0.113	Gis_22SubSamp
0.123	Gis_22SubSamp
0.135	Gis_22SubSamp
0.122	Gis_22SubSamp
0.134	Gis_22SubSamp
0.116	Gis_22SubSamp
0.131	Gis_22SubSamp
0.122	Gis_22SubSamp
0.133	Gis_22SubSamp
0.118	Gis_22SubSamp
0.127	Gis_22SubSamp
0.124	Gis_22SubSamp
0.112	Gis_22SubSamp
0.125	Gis_22SubSamp
0.116	Gis_22SubSamp
0.118	Gis_22SubSamp
0.126	Gis_22SubSamp
0.12	Gis_22SubSamp
0.12	Gis_22SubSamp
0.127	Gis_22SubSamp
0.133	Gis_22SubSamp
0.11	Gis_22SubSamp
0.112	Gis_22SubSamp
0.126	Gis_22SubSamp
0.109	Gis_22SubSamp
0.121	Gis_22SubSamp
0.128	Gis_22SubSamp
0.11	Gis_22SubSamp
0.129	Gis_22SubSamp
0.128	Gis_22SubSamp
0.116	Gis_22SubSamp
0.116	Gis_22SubSamp
0.139	Gis_22SubSamp
0.132	Gis_22SubSamp
0.126	Gis_22SubSamp
0.117	Gis_22SubSamp
0.114	Gis_22SubSamp
0.108	Gis_22SubSamp
0.123	Gis_22SubSamp
0.11	Gis_22SubSamp
0.118	Gis_22SubSamp
0.123	Gis_22SubSamp
0.122	Gis_22SubSamp
0.12	Gis_22SubSamp
0.124	Gis_22SubSamp
0.116	Gis_22SubSamp
0.118	Gis_22SubSamp
0.123	Gis_22SubSamp
0.134	Gis_22SubSamp
0.127	Gis_22SubSamp
0.124	Gis_22SubSamp
0.119	Gis_22SubSamp
0.128	Gis_22SubSamp
0.107	Gis_22SubSamp
0.119	Gis_22SubSamp
0.124	Gis_22SubSamp
0.127	Gis_22SubSamp
0.112	Gis_22SubSamp
0.119	Gis_22SubSamp
0.109	Gis_22SubSamp
0.114	Gis_22SubSamp
0.131	Gis_22SubSamp
0.119	Gis_22SubSamp
0.116	Gis_22SubSamp
0.129	Gis_22SubSamp
0.113	Gis_22SubSamp
0.112	Gis_22SubSamp
0.123	Gis_22SubSamp
0.119	Gis_22SubSamp
0.127	Gis_22SubSamp
0.124	Gis_22SubSamp
0.125	Gis_22SubSamp
0.123	Gis_22SubSamp
0.113	Gis_22SubSamp
0.114	Gis_22SubSamp
0.126	Gis_22SubSamp
0.129	Gis_22SubSamp
