MPO_Hs_estimates	Subsampling_group
0.117	Hs_20SubSamp
0.12	Hs_20SubSamp
0.121	Hs_20SubSamp
0.122	Hs_20SubSamp
0.122	Hs_20SubSamp
0.123	Hs_20SubSamp
0.122	Hs_20SubSamp
0.119	Hs_20SubSamp
0.122	Hs_20SubSamp
0.12	Hs_20SubSamp
0.119	Hs_20SubSamp
0.12	Hs_20SubSamp
0.119	Hs_20SubSamp
0.121	Hs_20SubSamp
0.119	Hs_20SubSamp
0.12	Hs_20SubSamp
0.117	Hs_20SubSamp
0.121	Hs_20SubSamp
0.118	Hs_20SubSamp
0.12	Hs_20SubSamp
0.12	Hs_20SubSamp
0.122	Hs_20SubSamp
0.118	Hs_20SubSamp
0.118	Hs_20SubSamp
0.121	Hs_20SubSamp
0.123	Hs_20SubSamp
0.12	Hs_20SubSamp
0.12	Hs_20SubSamp
0.122	Hs_20SubSamp
0.12	Hs_20SubSamp
0.118	Hs_20SubSamp
0.118	Hs_20SubSamp
0.117	Hs_20SubSamp
0.119	Hs_20SubSamp
0.12	Hs_20SubSamp
0.119	Hs_20SubSamp
0.12	Hs_20SubSamp
0.119	Hs_20SubSamp
0.121	Hs_20SubSamp
0.121	Hs_20SubSamp
0.122	Hs_20SubSamp
0.12	Hs_20SubSamp
0.119	Hs_20SubSamp
0.12	Hs_20SubSamp
0.123	Hs_20SubSamp
0.122	Hs_20SubSamp
0.122	Hs_20SubSamp
0.12	Hs_20SubSamp
0.119	Hs_20SubSamp
0.121	Hs_20SubSamp
0.12	Hs_20SubSamp
0.12	Hs_20SubSamp
0.12	Hs_20SubSamp
0.121	Hs_22SubSamp
0.121	Hs_22SubSamp
0.12	Hs_22SubSamp
0.118	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.121	Hs_22SubSamp
0.121	Hs_22SubSamp
0.12	Hs_22SubSamp
0.118	Hs_22SubSamp
0.119	Hs_22SubSamp
0.12	Hs_22SubSamp
0.119	Hs_22SubSamp
0.119	Hs_22SubSamp
0.121	Hs_22SubSamp
0.117	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.119	Hs_22SubSamp
0.121	Hs_22SubSamp
0.119	Hs_22SubSamp
0.119	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.119	Hs_22SubSamp
0.121	Hs_22SubSamp
0.117	Hs_22SubSamp
0.121	Hs_22SubSamp
0.118	Hs_22SubSamp
0.119	Hs_22SubSamp
0.119	Hs_22SubSamp
0.12	Hs_22SubSamp
0.119	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.119	Hs_22SubSamp
0.121	Hs_22SubSamp
0.121	Hs_22SubSamp
0.119	Hs_22SubSamp
0.119	Hs_22SubSamp
0.121	Hs_22SubSamp
0.119	Hs_22SubSamp
0.119	Hs_22SubSamp
0.121	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.121	Hs_22SubSamp
0.12	Hs_22SubSamp
0.119	Hs_22SubSamp
0.121	Hs_22SubSamp
0.117	Hs_22SubSamp
0.119	Hs_22SubSamp
0.121	Hs_22SubSamp
0.121	Hs_22SubSamp
0.117	Hs_22SubSamp
0.119	Hs_22SubSamp
0.119	Hs_22SubSamp
0.12	Hs_22SubSamp
0.119	Hs_22SubSamp
0.121	Hs_22SubSamp
0.12	Hs_22SubSamp
0.121	Hs_22SubSamp
0.121	Hs_22SubSamp
0.12	Hs_22SubSamp
0.119	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.121	Hs_22SubSamp
0.121	Hs_22SubSamp
0.119	Hs_22SubSamp
0.118	Hs_22SubSamp
0.12	Hs_22SubSamp
0.119	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.121	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.121	Hs_22SubSamp
0.119	Hs_22SubSamp
0.121	Hs_22SubSamp
0.121	Hs_22SubSamp
0.118	Hs_22SubSamp
0.121	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.121	Hs_22SubSamp
0.121	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.119	Hs_22SubSamp
0.121	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
0.121	Hs_22SubSamp
0.12	Hs_22SubSamp
0.12	Hs_22SubSamp
