PTP_Hs_estimates	Subsampling_group
0.058	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.058	Hs_20SubSamp
0.057	Hs_20SubSamp
0.058	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.058	Hs_20SubSamp
0.057	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.058	Hs_20SubSamp
0.056	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.055	Hs_20SubSamp
0.056	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_20SubSamp
0.056	Hs_20SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.055	Hs_22SubSamp
0.057	Hs_22SubSamp
0.057	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.055	Hs_22SubSamp
0.057	Hs_22SubSamp
0.055	Hs_22SubSamp
0.057	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.055	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.055	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.055	Hs_22SubSamp
0.057	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.055	Hs_22SubSamp
0.055	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.055	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.055	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.055	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.057	Hs_22SubSamp
0.055	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.057	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.055	Hs_22SubSamp
0.057	Hs_22SubSamp
0.057	Hs_22SubSamp
0.057	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.056	Hs_22SubSamp
0.057	Hs_22SubSamp
