TGCP_Hs_estimates	Subsampling_group
0.155	Hs_20SubSamp
0.154	Hs_20SubSamp
0.157	Hs_20SubSamp
0.156	Hs_20SubSamp
0.157	Hs_20SubSamp
0.155	Hs_20SubSamp
0.154	Hs_20SubSamp
0.157	Hs_20SubSamp
0.154	Hs_20SubSamp
0.158	Hs_20SubSamp
0.157	Hs_20SubSamp
0.154	Hs_20SubSamp
0.156	Hs_20SubSamp
0.156	Hs_20SubSamp
0.154	Hs_20SubSamp
0.155	Hs_20SubSamp
0.156	Hs_20SubSamp
0.156	Hs_20SubSamp
0.154	Hs_20SubSamp
0.156	Hs_20SubSamp
0.156	Hs_20SubSamp
0.155	Hs_20SubSamp
0.156	Hs_20SubSamp
0.156	Hs_20SubSamp
0.156	Hs_20SubSamp
0.156	Hs_20SubSamp
0.157	Hs_20SubSamp
0.154	Hs_20SubSamp
0.156	Hs_20SubSamp
0.154	Hs_20SubSamp
0.156	Hs_20SubSamp
0.156	Hs_20SubSamp
0.155	Hs_20SubSamp
0.155	Hs_20SubSamp
0.156	Hs_20SubSamp
0.157	Hs_20SubSamp
0.156	Hs_20SubSamp
0.157	Hs_20SubSamp
0.157	Hs_20SubSamp
0.157	Hs_20SubSamp
0.155	Hs_20SubSamp
0.155	Hs_20SubSamp
0.157	Hs_20SubSamp
0.156	Hs_20SubSamp
0.154	Hs_20SubSamp
0.157	Hs_20SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.157	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.157	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.157	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.157	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.157	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.154	Hs_22SubSamp
0.156	Hs_22SubSamp
0.154	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.157	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.157	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.157	Hs_22SubSamp
0.155	Hs_22SubSamp
0.157	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.154	Hs_22SubSamp
0.156	Hs_22SubSamp
0.156	Hs_22SubSamp
0.157	Hs_22SubSamp
0.156	Hs_22SubSamp
0.155	Hs_22SubSamp
0.156	Hs_22SubSamp
0.154	Hs_22SubSamp
