TGCP_Gis_estimates	Subsampling_group
0.011	Gis_20SubSamp
0.014	Gis_20SubSamp
0.012	Gis_20SubSamp
0.001	Gis_20SubSamp
0.019	Gis_20SubSamp
0.016	Gis_20SubSamp
0.008	Gis_20SubSamp
0.01	Gis_20SubSamp
0.008	Gis_20SubSamp
0.008	Gis_20SubSamp
0.011	Gis_20SubSamp
0.01	Gis_20SubSamp
0.007	Gis_20SubSamp
0.009	Gis_20SubSamp
0.009	Gis_20SubSamp
0.011	Gis_20SubSamp
0.013	Gis_20SubSamp
0.019	Gis_20SubSamp
0.011	Gis_20SubSamp
0.007	Gis_20SubSamp
0.006	Gis_20SubSamp
0.014	Gis_20SubSamp
0.014	Gis_20SubSamp
0.02	Gis_20SubSamp
0.01	Gis_20SubSamp
0.01	Gis_20SubSamp
0.016	Gis_20SubSamp
0.007	Gis_20SubSamp
0.013	Gis_20SubSamp
0.008	Gis_20SubSamp
0.011	Gis_20SubSamp
0.01	Gis_20SubSamp
0.007	Gis_20SubSamp
0.021	Gis_20SubSamp
0.007	Gis_20SubSamp
0.014	Gis_20SubSamp
0.014	Gis_20SubSamp
0.018	Gis_20SubSamp
0.015	Gis_20SubSamp
0.009	Gis_20SubSamp
0.014	Gis_20SubSamp
0.01	Gis_20SubSamp
0.008	Gis_20SubSamp
0.015	Gis_20SubSamp
0.013	Gis_20SubSamp
0.004	Gis_20SubSamp
0.013	Gis_20SubSamp
0.009	Gis_20SubSamp
0.009	Gis_20SubSamp
0.016	Gis_20SubSamp
0.018	Gis_20SubSamp
0.002	Gis_20SubSamp
0.014	Gis_20SubSamp
0.015	Gis_20SubSamp
0.009	Gis_20SubSamp
0.016	Gis_20SubSamp
0.005	Gis_20SubSamp
0.009	Gis_20SubSamp
0.01	Gis_20SubSamp
0.014	Gis_20SubSamp
0.006	Gis_20SubSamp
0.011	Gis_20SubSamp
0.01	Gis_20SubSamp
0.012	Gis_20SubSamp
0.009	Gis_20SubSamp
0.015	Gis_20SubSamp
0.017	Gis_20SubSamp
0.008	Gis_20SubSamp
0.013	Gis_22SubSamp
0.015	Gis_22SubSamp
0.015	Gis_22SubSamp
0.009	Gis_22SubSamp
0.013	Gis_22SubSamp
0.014	Gis_22SubSamp
0.017	Gis_22SubSamp
0.01	Gis_22SubSamp
0.014	Gis_22SubSamp
0.013	Gis_22SubSamp
0.009	Gis_22SubSamp
0.016	Gis_22SubSamp
0.007	Gis_22SubSamp
0.009	Gis_22SubSamp
0.009	Gis_22SubSamp
0.009	Gis_22SubSamp
0.011	Gis_22SubSamp
0.011	Gis_22SubSamp
0.007	Gis_22SubSamp
0.013	Gis_22SubSamp
0.006	Gis_22SubSamp
0.01	Gis_22SubSamp
0.004	Gis_22SubSamp
0.005	Gis_22SubSamp
0.01	Gis_22SubSamp
0.009	Gis_22SubSamp
0.017	Gis_22SubSamp
0.009	Gis_22SubSamp
0.017	Gis_22SubSamp
0.01	Gis_22SubSamp
0.009	Gis_22SubSamp
0.013	Gis_22SubSamp
0.012	Gis_22SubSamp
0.011	Gis_22SubSamp
0.011	Gis_22SubSamp
0.016	Gis_22SubSamp
0.008	Gis_22SubSamp
0.009	Gis_22SubSamp
0.017	Gis_22SubSamp
0.012	Gis_22SubSamp
0.012	Gis_22SubSamp
0.008	Gis_22SubSamp
0.013	Gis_22SubSamp
0.009	Gis_22SubSamp
0.013	Gis_22SubSamp
0.006	Gis_22SubSamp
0.01	Gis_22SubSamp
0.008	Gis_22SubSamp
0.015	Gis_22SubSamp
0.01	Gis_22SubSamp
0.013	Gis_22SubSamp
0.009	Gis_22SubSamp
0.008	Gis_22SubSamp
0.013	Gis_22SubSamp
0.013	Gis_22SubSamp
0.013	Gis_22SubSamp
0.014	Gis_22SubSamp
0.016	Gis_22SubSamp
0.012	Gis_22SubSamp
0.008	Gis_22SubSamp
0.007	Gis_22SubSamp
0.014	Gis_22SubSamp
0.015	Gis_22SubSamp
0.011	Gis_22SubSamp
0.016	Gis_22SubSamp
0.01	Gis_22SubSamp
0.007	Gis_22SubSamp
0.014	Gis_22SubSamp
0.014	Gis_22SubSamp
0.012	Gis_22SubSamp
0.012	Gis_22SubSamp
0.005	Gis_22SubSamp
0.007	Gis_22SubSamp
0.013	Gis_22SubSamp
0.007	Gis_22SubSamp
0.007	Gis_22SubSamp
0.012	Gis_22SubSamp
0.011	Gis_22SubSamp
0.012	Gis_22SubSamp
0.007	Gis_22SubSamp
0.012	Gis_22SubSamp
0.013	Gis_22SubSamp
0.013	Gis_22SubSamp
0.013	Gis_22SubSamp
0.012	Gis_22SubSamp
0.01	Gis_22SubSamp
0.007	Gis_22SubSamp
0.005	Gis_22SubSamp
0.01	Gis_22SubSamp
0.009	Gis_22SubSamp
0.01	Gis_22SubSamp
0.009	Gis_22SubSamp
0.015	Gis_22SubSamp
0.013	Gis_22SubSamp
0.009	Gis_22SubSamp
0.014	Gis_22SubSamp
0.009	Gis_22SubSamp
0.011	Gis_22SubSamp
0.013	Gis_22SubSamp
0.004	Gis_22SubSamp
