STT_Hs_estimates	Subsampling_group
0.122	Hs_20SubSamp
0.124	Hs_20SubSamp
0.125	Hs_20SubSamp
0.127	Hs_20SubSamp
0.125	Hs_20SubSamp
0.124	Hs_20SubSamp
0.126	Hs_20SubSamp
0.123	Hs_20SubSamp
0.125	Hs_20SubSamp
0.123	Hs_20SubSamp
0.126	Hs_20SubSamp
0.127	Hs_20SubSamp
0.124	Hs_20SubSamp
0.127	Hs_20SubSamp
0.125	Hs_20SubSamp
0.125	Hs_20SubSamp
0.125	Hs_20SubSamp
0.126	Hs_20SubSamp
0.126	Hs_20SubSamp
0.127	Hs_20SubSamp
0.126	Hs_20SubSamp
0.126	Hs_20SubSamp
0.128	Hs_20SubSamp
0.126	Hs_20SubSamp
0.125	Hs_20SubSamp
0.126	Hs_20SubSamp
0.124	Hs_20SubSamp
0.125	Hs_20SubSamp
0.122	Hs_20SubSamp
0.127	Hs_20SubSamp
0.122	Hs_20SubSamp
0.125	Hs_20SubSamp
0.124	Hs_20SubSamp
0.127	Hs_20SubSamp
0.125	Hs_20SubSamp
0.127	Hs_20SubSamp
0.124	Hs_20SubSamp
0.126	Hs_20SubSamp
0.124	Hs_20SubSamp
0.126	Hs_20SubSamp
0.125	Hs_20SubSamp
0.125	Hs_20SubSamp
0.125	Hs_20SubSamp
0.126	Hs_20SubSamp
0.125	Hs_20SubSamp
0.125	Hs_20SubSamp
0.126	Hs_20SubSamp
0.128	Hs_20SubSamp
0.126	Hs_20SubSamp
0.124	Hs_20SubSamp
0.128	Hs_20SubSamp
0.123	Hs_20SubSamp
0.125	Hs_20SubSamp
0.126	Hs_20SubSamp
0.125	Hs_20SubSamp
0.125	Hs_20SubSamp
0.127	Hs_20SubSamp
0.128	Hs_20SubSamp
0.128	Hs_20SubSamp
0.124	Hs_20SubSamp
0.125	Hs_22SubSamp
0.126	Hs_22SubSamp
0.126	Hs_22SubSamp
0.125	Hs_22SubSamp
0.127	Hs_22SubSamp
0.126	Hs_22SubSamp
0.125	Hs_22SubSamp
0.123	Hs_22SubSamp
0.127	Hs_22SubSamp
0.126	Hs_22SubSamp
0.126	Hs_22SubSamp
0.124	Hs_22SubSamp
0.125	Hs_22SubSamp
0.124	Hs_22SubSamp
0.126	Hs_22SubSamp
0.124	Hs_22SubSamp
0.127	Hs_22SubSamp
0.125	Hs_22SubSamp
0.125	Hs_22SubSamp
0.126	Hs_22SubSamp
0.124	Hs_22SubSamp
0.127	Hs_22SubSamp
0.125	Hs_22SubSamp
0.124	Hs_22SubSamp
0.127	Hs_22SubSamp
0.124	Hs_22SubSamp
0.124	Hs_22SubSamp
0.127	Hs_22SubSamp
0.126	Hs_22SubSamp
0.125	Hs_22SubSamp
0.124	Hs_22SubSamp
0.126	Hs_22SubSamp
0.125	Hs_22SubSamp
0.125	Hs_22SubSamp
0.127	Hs_22SubSamp
0.126	Hs_22SubSamp
0.125	Hs_22SubSamp
0.126	Hs_22SubSamp
0.127	Hs_22SubSamp
0.127	Hs_22SubSamp
0.125	Hs_22SubSamp
0.126	Hs_22SubSamp
0.124	Hs_22SubSamp
0.126	Hs_22SubSamp
0.127	Hs_22SubSamp
0.124	Hs_22SubSamp
0.125	Hs_22SubSamp
0.125	Hs_22SubSamp
0.126	Hs_22SubSamp
0.125	Hs_22SubSamp
0.125	Hs_22SubSamp
0.126	Hs_22SubSamp
0.127	Hs_22SubSamp
0.125	Hs_22SubSamp
0.125	Hs_22SubSamp
0.127	Hs_22SubSamp
0.126	Hs_22SubSamp
0.124	Hs_22SubSamp
0.125	Hs_22SubSamp
0.127	Hs_22SubSamp
0.125	Hs_22SubSamp
0.126	Hs_22SubSamp
0.125	Hs_22SubSamp
0.125	Hs_22SubSamp
0.126	Hs_22SubSamp
0.126	Hs_22SubSamp
0.126	Hs_22SubSamp
0.126	Hs_22SubSamp
0.126	Hs_22SubSamp
0.125	Hs_22SubSamp
0.127	Hs_22SubSamp
0.127	Hs_22SubSamp
0.127	Hs_22SubSamp
0.125	Hs_22SubSamp
0.126	Hs_22SubSamp
0.125	Hs_22SubSamp
0.127	Hs_22SubSamp
0.126	Hs_22SubSamp
0.127	Hs_22SubSamp
0.124	Hs_22SubSamp
0.127	Hs_22SubSamp
0.126	Hs_22SubSamp
0.123	Hs_22SubSamp
0.125	Hs_22SubSamp
0.127	Hs_22SubSamp
0.127	Hs_22SubSamp
0.124	Hs_22SubSamp
0.127	Hs_22SubSamp
0.124	Hs_22SubSamp
0.126	Hs_22SubSamp
0.126	Hs_22SubSamp
0.127	Hs_22SubSamp
0.127	Hs_22SubSamp
0.127	Hs_22SubSamp
0.126	Hs_22SubSamp
0.126	Hs_22SubSamp
0.126	Hs_22SubSamp
0.126	Hs_22SubSamp
0.126	Hs_22SubSamp
0.127	Hs_22SubSamp
