MPO_Ho_estimates	Subsampling_group
0.102	Ho_20SubSamp
0.106	Ho_20SubSamp
0.106	Ho_20SubSamp
0.108	Ho_20SubSamp
0.107	Ho_20SubSamp
0.11	Ho_20SubSamp
0.108	Ho_20SubSamp
0.103	Ho_20SubSamp
0.108	Ho_20SubSamp
0.105	Ho_20SubSamp
0.103	Ho_20SubSamp
0.104	Ho_20SubSamp
0.104	Ho_20SubSamp
0.107	Ho_20SubSamp
0.103	Ho_20SubSamp
0.106	Ho_20SubSamp
0.1	Ho_20SubSamp
0.106	Ho_20SubSamp
0.102	Ho_20SubSamp
0.106	Ho_20SubSamp
0.104	Ho_20SubSamp
0.11	Ho_20SubSamp
0.104	Ho_20SubSamp
0.103	Ho_20SubSamp
0.106	Ho_20SubSamp
0.11	Ho_20SubSamp
0.106	Ho_20SubSamp
0.105	Ho_20SubSamp
0.107	Ho_20SubSamp
0.105	Ho_20SubSamp
0.103	Ho_20SubSamp
0.104	Ho_20SubSamp
0.101	Ho_20SubSamp
0.104	Ho_20SubSamp
0.106	Ho_20SubSamp
0.103	Ho_20SubSamp
0.106	Ho_20SubSamp
0.102	Ho_20SubSamp
0.107	Ho_20SubSamp
0.106	Ho_20SubSamp
0.11	Ho_20SubSamp
0.105	Ho_20SubSamp
0.105	Ho_20SubSamp
0.107	Ho_20SubSamp
0.11	Ho_20SubSamp
0.111	Ho_20SubSamp
0.109	Ho_20SubSamp
0.104	Ho_20SubSamp
0.103	Ho_20SubSamp
0.107	Ho_20SubSamp
0.105	Ho_20SubSamp
0.106	Ho_20SubSamp
0.105	Ho_20SubSamp
0.106	Ho_22SubSamp
0.108	Ho_22SubSamp
0.106	Ho_22SubSamp
0.103	Ho_22SubSamp
0.105	Ho_22SubSamp
0.106	Ho_22SubSamp
0.107	Ho_22SubSamp
0.107	Ho_22SubSamp
0.105	Ho_22SubSamp
0.102	Ho_22SubSamp
0.104	Ho_22SubSamp
0.106	Ho_22SubSamp
0.104	Ho_22SubSamp
0.103	Ho_22SubSamp
0.106	Ho_22SubSamp
0.102	Ho_22SubSamp
0.107	Ho_22SubSamp
0.105	Ho_22SubSamp
0.104	Ho_22SubSamp
0.106	Ho_22SubSamp
0.105	Ho_22SubSamp
0.103	Ho_22SubSamp
0.107	Ho_22SubSamp
0.107	Ho_22SubSamp
0.105	Ho_22SubSamp
0.103	Ho_22SubSamp
0.106	Ho_22SubSamp
0.102	Ho_22SubSamp
0.107	Ho_22SubSamp
0.103	Ho_22SubSamp
0.105	Ho_22SubSamp
0.103	Ho_22SubSamp
0.106	Ho_22SubSamp
0.104	Ho_22SubSamp
0.105	Ho_22SubSamp
0.107	Ho_22SubSamp
0.104	Ho_22SubSamp
0.107	Ho_22SubSamp
0.106	Ho_22SubSamp
0.104	Ho_22SubSamp
0.105	Ho_22SubSamp
0.106	Ho_22SubSamp
0.104	Ho_22SubSamp
0.103	Ho_22SubSamp
0.108	Ho_22SubSamp
0.106	Ho_22SubSamp
0.105	Ho_22SubSamp
0.108	Ho_22SubSamp
0.105	Ho_22SubSamp
0.104	Ho_22SubSamp
0.108	Ho_22SubSamp
0.102	Ho_22SubSamp
0.104	Ho_22SubSamp
0.107	Ho_22SubSamp
0.107	Ho_22SubSamp
0.101	Ho_22SubSamp
0.103	Ho_22SubSamp
0.104	Ho_22SubSamp
0.106	Ho_22SubSamp
0.106	Ho_22SubSamp
0.108	Ho_22SubSamp
0.105	Ho_22SubSamp
0.108	Ho_22SubSamp
0.106	Ho_22SubSamp
0.105	Ho_22SubSamp
0.105	Ho_22SubSamp
0.105	Ho_22SubSamp
0.105	Ho_22SubSamp
0.107	Ho_22SubSamp
0.106	Ho_22SubSamp
0.105	Ho_22SubSamp
0.102	Ho_22SubSamp
0.105	Ho_22SubSamp
0.105	Ho_22SubSamp
0.106	Ho_22SubSamp
0.104	Ho_22SubSamp
0.108	Ho_22SubSamp
0.106	Ho_22SubSamp
0.105	Ho_22SubSamp
0.105	Ho_22SubSamp
0.107	Ho_22SubSamp
0.105	Ho_22SubSamp
0.108	Ho_22SubSamp
0.107	Ho_22SubSamp
0.103	Ho_22SubSamp
0.106	Ho_22SubSamp
0.106	Ho_22SubSamp
0.104	Ho_22SubSamp
0.107	Ho_22SubSamp
0.107	Ho_22SubSamp
0.105	Ho_22SubSamp
0.106	Ho_22SubSamp
0.104	Ho_22SubSamp
0.106	Ho_22SubSamp
0.105	Ho_22SubSamp
0.106	Ho_22SubSamp
0.107	Ho_22SubSamp
0.107	Ho_22SubSamp
0.105	Ho_22SubSamp
0.104	Ho_22SubSamp
