STT_Gis_estimates	Subsampling_group
0.094	Gis_20SubSamp
0.089	Gis_20SubSamp
0.078	Gis_20SubSamp
0.099	Gis_20SubSamp
0.082	Gis_20SubSamp
0.084	Gis_20SubSamp
0.082	Gis_20SubSamp
0.082	Gis_20SubSamp
0.091	Gis_20SubSamp
0.083	Gis_20SubSamp
0.104	Gis_20SubSamp
0.087	Gis_20SubSamp
0.099	Gis_20SubSamp
0.079	Gis_20SubSamp
0.082	Gis_20SubSamp
0.086	Gis_20SubSamp
0.082	Gis_20SubSamp
0.081	Gis_20SubSamp
0.083	Gis_20SubSamp
0.078	Gis_20SubSamp
0.092	Gis_20SubSamp
0.077	Gis_20SubSamp
0.082	Gis_20SubSamp
0.078	Gis_20SubSamp
0.072	Gis_20SubSamp
0.079	Gis_20SubSamp
0.086	Gis_20SubSamp
0.083	Gis_20SubSamp
0.082	Gis_20SubSamp
0.081	Gis_20SubSamp
0.085	Gis_20SubSamp
0.092	Gis_20SubSamp
0.077	Gis_20SubSamp
0.087	Gis_20SubSamp
0.086	Gis_20SubSamp
0.089	Gis_20SubSamp
0.086	Gis_20SubSamp
0.087	Gis_20SubSamp
0.076	Gis_20SubSamp
0.091	Gis_20SubSamp
0.074	Gis_20SubSamp
0.087	Gis_20SubSamp
0.084	Gis_20SubSamp
0.087	Gis_20SubSamp
0.08	Gis_20SubSamp
0.09	Gis_20SubSamp
0.078	Gis_20SubSamp
0.082	Gis_20SubSamp
0.096	Gis_20SubSamp
0.078	Gis_20SubSamp
0.069	Gis_20SubSamp
0.083	Gis_20SubSamp
0.102	Gis_20SubSamp
0.075	Gis_20SubSamp
0.1	Gis_20SubSamp
0.083	Gis_20SubSamp
0.086	Gis_20SubSamp
0.08	Gis_20SubSamp
0.088	Gis_20SubSamp
0.075	Gis_20SubSamp
0.072	Gis_20SubSamp
0.071	Gis_20SubSamp
0.091	Gis_20SubSamp
0.087	Gis_22SubSamp
0.082	Gis_22SubSamp
0.083	Gis_22SubSamp
0.08	Gis_22SubSamp
0.084	Gis_22SubSamp
0.08	Gis_22SubSamp
0.08	Gis_22SubSamp
0.097	Gis_22SubSamp
0.082	Gis_22SubSamp
0.087	Gis_22SubSamp
0.081	Gis_22SubSamp
0.084	Gis_22SubSamp
0.088	Gis_22SubSamp
0.08	Gis_22SubSamp
0.085	Gis_22SubSamp
0.093	Gis_22SubSamp
0.078	Gis_22SubSamp
0.085	Gis_22SubSamp
0.08	Gis_22SubSamp
0.081	Gis_22SubSamp
0.091	Gis_22SubSamp
0.076	Gis_22SubSamp
0.082	Gis_22SubSamp
0.09	Gis_22SubSamp
0.077	Gis_22SubSamp
0.08	Gis_22SubSamp
0.084	Gis_22SubSamp
0.079	Gis_22SubSamp
0.079	Gis_22SubSamp
0.083	Gis_22SubSamp
0.08	Gis_22SubSamp
0.078	Gis_22SubSamp
0.078	Gis_22SubSamp
0.079	Gis_22SubSamp
0.079	Gis_22SubSamp
0.08	Gis_22SubSamp
0.087	Gis_22SubSamp
0.077	Gis_22SubSamp
0.076	Gis_22SubSamp
0.076	Gis_22SubSamp
0.083	Gis_22SubSamp
0.08	Gis_22SubSamp
0.084	Gis_22SubSamp
0.074	Gis_22SubSamp
0.075	Gis_22SubSamp
0.083	Gis_22SubSamp
0.081	Gis_22SubSamp
0.086	Gis_22SubSamp
0.079	Gis_22SubSamp
0.089	Gis_22SubSamp
0.089	Gis_22SubSamp
0.074	Gis_22SubSamp
0.079	Gis_22SubSamp
0.085	Gis_22SubSamp
0.083	Gis_22SubSamp
0.075	Gis_22SubSamp
0.079	Gis_22SubSamp
0.088	Gis_22SubSamp
0.079	Gis_22SubSamp
0.079	Gis_22SubSamp
0.091	Gis_22SubSamp
0.083	Gis_22SubSamp
0.087	Gis_22SubSamp
0.082	Gis_22SubSamp
0.083	Gis_22SubSamp
0.08	Gis_22SubSamp
0.087	Gis_22SubSamp
0.085	Gis_22SubSamp
0.082	Gis_22SubSamp
0.083	Gis_22SubSamp
0.075	Gis_22SubSamp
0.075	Gis_22SubSamp
0.079	Gis_22SubSamp
0.085	Gis_22SubSamp
0.079	Gis_22SubSamp
0.088	Gis_22SubSamp
0.076	Gis_22SubSamp
0.089	Gis_22SubSamp
0.079	Gis_22SubSamp
0.085	Gis_22SubSamp
0.073	Gis_22SubSamp
0.082	Gis_22SubSamp
0.09	Gis_22SubSamp
0.085	Gis_22SubSamp
0.082	Gis_22SubSamp
0.074	Gis_22SubSamp
0.084	Gis_22SubSamp
0.079	Gis_22SubSamp
0.087	Gis_22SubSamp
0.085	Gis_22SubSamp
0.077	Gis_22SubSamp
0.074	Gis_22SubSamp
0.074	Gis_22SubSamp
0.077	Gis_22SubSamp
0.08	Gis_22SubSamp
0.078	Gis_22SubSamp
0.077	Gis_22SubSamp
0.083	Gis_22SubSamp
0.08	Gis_22SubSamp
0.072	Gis_22SubSamp
