STT_Ho_estimates	Subsampling_group
0.116	Ho_20SubSamp
0.115	Ho_20SubSamp
0.113	Ho_20SubSamp
0.116	Ho_20SubSamp
0.11	Ho_20SubSamp
0.114	Ho_20SubSamp
0.111	Ho_20SubSamp
0.116	Ho_20SubSamp
0.116	Ho_20SubSamp
0.113	Ho_20SubSamp
0.117	Ho_20SubSamp
0.115	Ho_20SubSamp
0.114	Ho_20SubSamp
0.115	Ho_20SubSamp
0.114	Ho_20SubSamp
0.117	Ho_20SubSamp
0.116	Ho_20SubSamp
0.117	Ho_20SubSamp
0.117	Ho_20SubSamp
0.117	Ho_20SubSamp
0.116	Ho_20SubSamp
0.115	Ho_20SubSamp
0.115	Ho_20SubSamp
0.114	Ho_20SubSamp
0.114	Ho_20SubSamp
0.111	Ho_20SubSamp
0.118	Ho_20SubSamp
0.112	Ho_20SubSamp
0.114	Ho_20SubSamp
0.113	Ho_20SubSamp
0.116	Ho_20SubSamp
0.114	Ho_20SubSamp
0.117	Ho_20SubSamp
0.113	Ho_20SubSamp
0.117	Ho_20SubSamp
0.113	Ho_20SubSamp
0.115	Ho_20SubSamp
0.114	Ho_20SubSamp
0.115	Ho_20SubSamp
0.114	Ho_20SubSamp
0.116	Ho_20SubSamp
0.115	Ho_20SubSamp
0.113	Ho_20SubSamp
0.116	Ho_20SubSamp
0.119	Ho_20SubSamp
0.115	Ho_20SubSamp
0.111	Ho_20SubSamp
0.118	Ho_20SubSamp
0.11	Ho_20SubSamp
0.115	Ho_20SubSamp
0.115	Ho_20SubSamp
0.115	Ho_20SubSamp
0.114	Ho_20SubSamp
0.117	Ho_20SubSamp
0.118	Ho_20SubSamp
0.119	Ho_20SubSamp
0.113	Ho_20SubSamp
0.114	Ho_22SubSamp
0.115	Ho_22SubSamp
0.115	Ho_22SubSamp
0.115	Ho_22SubSamp
0.116	Ho_22SubSamp
0.116	Ho_22SubSamp
0.115	Ho_22SubSamp
0.111	Ho_22SubSamp
0.116	Ho_22SubSamp
0.115	Ho_22SubSamp
0.115	Ho_22SubSamp
0.114	Ho_22SubSamp
0.114	Ho_22SubSamp
0.115	Ho_22SubSamp
0.115	Ho_22SubSamp
0.113	Ho_22SubSamp
0.117	Ho_22SubSamp
0.115	Ho_22SubSamp
0.115	Ho_22SubSamp
0.116	Ho_22SubSamp
0.112	Ho_22SubSamp
0.117	Ho_22SubSamp
0.115	Ho_22SubSamp
0.113	Ho_22SubSamp
0.117	Ho_22SubSamp
0.115	Ho_22SubSamp
0.114	Ho_22SubSamp
0.117	Ho_22SubSamp
0.116	Ho_22SubSamp
0.115	Ho_22SubSamp
0.115	Ho_22SubSamp
0.116	Ho_22SubSamp
0.115	Ho_22SubSamp
0.115	Ho_22SubSamp
0.117	Ho_22SubSamp
0.116	Ho_22SubSamp
0.114	Ho_22SubSamp
0.117	Ho_22SubSamp
0.117	Ho_22SubSamp
0.117	Ho_22SubSamp
0.115	Ho_22SubSamp
0.116	Ho_22SubSamp
0.114	Ho_22SubSamp
0.117	Ho_22SubSamp
0.117	Ho_22SubSamp
0.114	Ho_22SubSamp
0.115	Ho_22SubSamp
0.115	Ho_22SubSamp
0.116	Ho_22SubSamp
0.113	Ho_22SubSamp
0.114	Ho_22SubSamp
0.117	Ho_22SubSamp
0.117	Ho_22SubSamp
0.114	Ho_22SubSamp
0.115	Ho_22SubSamp
0.118	Ho_22SubSamp
0.116	Ho_22SubSamp
0.114	Ho_22SubSamp
0.115	Ho_22SubSamp
0.117	Ho_22SubSamp
0.113	Ho_22SubSamp
0.115	Ho_22SubSamp
0.114	Ho_22SubSamp
0.115	Ho_22SubSamp
0.116	Ho_22SubSamp
0.116	Ho_22SubSamp
0.115	Ho_22SubSamp
0.115	Ho_22SubSamp
0.116	Ho_22SubSamp
0.115	Ho_22SubSamp
0.117	Ho_22SubSamp
0.118	Ho_22SubSamp
0.116	Ho_22SubSamp
0.114	Ho_22SubSamp
0.116	Ho_22SubSamp
0.114	Ho_22SubSamp
0.117	Ho_22SubSamp
0.114	Ho_22SubSamp
0.117	Ho_22SubSamp
0.114	Ho_22SubSamp
0.117	Ho_22SubSamp
0.116	Ho_22SubSamp
0.112	Ho_22SubSamp
0.115	Ho_22SubSamp
0.116	Ho_22SubSamp
0.118	Ho_22SubSamp
0.114	Ho_22SubSamp
0.117	Ho_22SubSamp
0.113	Ho_22SubSamp
0.115	Ho_22SubSamp
0.116	Ho_22SubSamp
0.118	Ho_22SubSamp
0.118	Ho_22SubSamp
0.117	Ho_22SubSamp
0.116	Ho_22SubSamp
0.117	Ho_22SubSamp
0.117	Ho_22SubSamp
0.115	Ho_22SubSamp
0.116	Ho_22SubSamp
0.118	Ho_22SubSamp
